useID,ChipName,Capacity,EraseTime,PageSize,MemoryType,ChipType,ManufName,BlockSize,OTPSize,OTPAddr,NOTE,Voltage,ChipID,ChipPara,ChipPara1,Para1Note,ParaNote,Adder
844,"24C128",16384,100000,64,"EEPROM","24 EEPROM","24CXX",16,0,0,"16KB","5000","000000",1,0,,,"YaoJie"
845,"24C256",32768,100000,64,"EEPROM","24 EEPROM","24CXX",16,0,0,"32KB","5000","000000",1,0,,,"YaoJie"
846,"24C512",65536,100000,128,"EEPROM","24 EEPROM","24CXX",16,0,0,"64KB","5000","000000",1,0,,,"YaoJie"
847,"24C1024",131072,100000,128,"EEPROM","24 EEPROM","24CXX",16,0,0,"128KB","5000","000000",1,0,,,"YaoJie"
857,"BY25D05AS",65536,15000,256,"SPI FLASH","SPI FLASH","BOYA",4096,0,0,"64KB","3300","684010",0,0,,,"YaoJie"
858,"BY25D10AS",131072,20000,256,"SPI FLASH","SPI FLASH","BOYA",4096,0,0,"128KB","3300","684011",0,0,,,"YaoJie"
859,"BY25D20AS",262144,25000,256,"SPI FLASH","SPI FLASH","BOYA",4096,0,0,"256KB","3300","684012",0,0,,,"YaoJie"
860,"BY25Q20AL",262144,25000,256,"SPI FLASH","SPI FLASH","BOYA",4096,0,0,"256KB","1800","686012",0,0,,,"YaoJie"
861,"BY25Q20AS",262144,25000,256,"SPI FLASH","SPI FLASH","BOYA",4096,0,0,"256KB","3300","E04012",0,0,,,"YaoJie"
862,"BY25Q40AS",524288,30000,256,"SPI FLASH","SPI FLASH","BOYA",4096,0,0,"512KB","3300","E04013",0,0,,,"YaoJie"
863,"BY25Q40AL",524288,30000,256,"SPI FLASH","SPI FLASH","BOYA",4096,0,0,"512KB","1800","686013",0,0,,,"YaoJie"
864,"BY25D40AS",524288,30000,256,"SPI FLASH","SPI FLASH","BOYA",4096,0,0,"512KB","3300","684013",0,0,,,"YaoJie"
865,"BY25D40CS",524288,30000,256,"SPI FLASH","SPI FLASH","BOYA",4096,0,0,"512KB","3300","684013",0,0,,,"YaoJie"
866,"BY25D40DS",524288,30000,256,"SPI FLASH","SPI FLASH","BOYA",4096,0,0,"512KB","3300","684013",0,0,,,"YaoJie"
867,"BY25D80",1048576,35000,256,"SPI FLASH","SPI FLASH","BOYA",4096,0,0,"1MB","3300","684014",0,0,,,"YaoJie"
868,"BY25D80AS",1048576,35000,256,"SPI FLASH","SPI FLASH","BOYA",4096,0,0,"1MB","3300","684014",0,0,,,"YaoJie"
869,"BY25Q80BS",1048576,35000,256,"SPI FLASH","SPI FLASH","BOYA",4096,0,0,"1MB","3300","684014",0,0,,,"YaoJie"
870,"BY25D16",2097152,40000,256,"SPI FLASH","SPI FLASH","BOYA",4096,0,0,"2MB","3300","684015",0,0,,,"YaoJie"
871,"BY25D16AS",2097152,40000,256,"SPI FLASH","SPI FLASH","BOYA",4096,0,0,"2MB","3300","684015",0,0,,,"YaoJie"
