type,manufacturer,name,chip_id,size,flash_page,chip_class,algo,delay,eeprom_extend,eeprom,unk2,eeprom_page,voltage
25_EEPROM,CATALYST,CAT25C03P,0,256,16,3,0,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C03S,0,256,16,3,0,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C03U,0,256,16,3,0,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C05P,0,512,16,3,0,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C05U,0,512,16,3,0,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C05S,0,512,16,3,0,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C09P,0,1024,32,3,1,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C09S,0,1024,32,3,1,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C09U,0,1024,32,3,1,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C17P,0,2048,32,3,1,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C17S,0,2048,32,3,1,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C17U,0,2048,32,3,1,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C32P,0,4096,64,3,1,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C32S,0,4096,64,3,1,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C32U,0,4096,64,3,1,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C64P,0,8192,64,3,1,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C64S,0,8192,64,3,1,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C64U,0,8192,64,3,1,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C128P,0,16384,64,3,1,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C128S,0,16384,64,3,1,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C128U,0,16384,64,3,1,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C256P,0,32768,64,3,1,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C256U,0,32768,64,3,1,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C256S,0,32768,64,3,1,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C33P,0,4096,64,3,1,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C33S,0,4096,64,3,1,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C33U,0,4096,64,3,1,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C65P,0,8192,64,3,1,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C65S,0,8192,64,3,1,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C65U,0,8192,64,3,1,4000,0,0,0,4,2
25_EEPROM,COMMON,25010,0,128,4,3,0,2000,0,0,0,4,2
